codigoParroquia;nombreParroquia;idCanton
529;SANTIAGO;67
530;SANTIAGO DE MÉNDEZ ;19
531;SANTO DOMINGO ;53
532;SAQUISILÍ ;123
533;SARACAY;88
534;SARAGURO ;97
535;SARDINAS;22
536;SAYAUSÍ;01
537;SEIS DE JULIO DE CUELLAJE (CAB. EN CUELLAJE);94
538;SEVILLA;80
539;SEVILLA DE ORO ;23
540;SEVILLA DON BOSCO;08
541;SHELL;98
542;SHUSHUFINDI ;44
543;SIBAMBE;130
544;SIDCAY;01
545;SIETE DE JULIO;44
546;SIETE DE OCTUBRE;71
547;SIGCHOS ;116
548;SIGSIG ;37
549;SIMÓN BOLÍVAR;85
550;SIMÓN BOLÍVAR (CAB. EN GAÑANZOL);10
551;SIMON BOLIVAR (JULIO MORENO);03
552;SIMÓN PLATA TORRES;93
553;SINAI;08
554;SININCAY;01
555;SINSAO;69
556;SOZORANGA (CAB. CANTONAL);87
557;SÚA (CAB. EN LA BOCANA);02
558;SUCRE;01
559;SUCRE ;201
560;SUCÚA ;21
561;SUMACO;121
562;SUSCAL ;102
563;TABABELA;04
564;TABACUNDO ;179
565;TABIAZO;93
566;TACHINA;93
567;TÁLAG;07
568;TAMBILLO;60
569;TANICUCHÍ;70
570;TARACOA;31
571;TARAPOA  ;124
572;TARIFA;50
573;TARQUI;01
574;TELEMBI;155
575;TENA ;07
576;TENGUEL;05
577;TIMBARA;29
578;TINGO;118
579;TIPUTINI;128
580;TISALEO ;149
581;TOACASO;70
582;TOCACHI;179
583;TOMÁS DE BERLANGA (SANTO TOMÁS);49
584;TONCHIGÜE;02
585;TONSUPA;02
586;TORATA;133
587;TOSAGUA ;159
588;TOTORACOCHA;01
589;TOTORACOCHA ;01
590;TOTORAS;42
591;TULCÁN ;105
592;TUMBABIRO;109
593;TUMBACO;04
594;TUPIGACHI;179
595;TURI;01
596;ULBA;91
597;UNAMUNCHO;42
598;URCUQUÍ ;109
599;URDANETA;05
600;UYUMBICHO;60
601;UZHCURRUMI;15
602;VALENCIA;193
603;VALLADOLID;191
604;VALLE;01
605;VALLE HERMOSO;148
606;VELASCO;54
607;VELASCO IBARRA (CAB. EL EMPALME) ;173
608;VELOZ;54
609;VENTANAS ;165
610;VENTURA;56
611;VENUS DEL RÍO QUEVEDO;71
612;VERACRUZ (INDILLAMA) (CAB. EN INDILLAMA);11
613;VICHE;106
614;VICTORIA DEL PORTETE (IRQUIS);01
615;VILCABAMBA (VICTORIA);26
616;VILLA LA UNION (CAJABAMBA) ();131
617;VINCES ;40
618;VIVA ALFARO;71
619;VUELTA LARGA;93
620;WILFRIDO LOOR MOREIRA (MAICITO);190
621;XIMENA;05
622;YAGUACHI NUEVO,SAN JACINTO DE JAHUACHI,;170
623;YANTZAZA (YANZATZA) ;99
624;YANUNCAY;01
625;YARUQUÍ;04
626;YARUQUÍES;54
627;YASUNI;128
628;YUNGANZA (CAB EN EL ROSARIO);06
629;ZAMORA ;29
630;ZAPOTILLO ;183
631;ZARACAY;53
632;ZARUMA ;69
633;ZHUD;56
634;ZUMBA ;64
635;ZUMBAHUA;118
636;ZUMBI ;192
637;ZURMI;180
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
